major,minor,patch,date,datetime,time,type
2,0,0,2004-10-04,2004-10-04T14:24:38Z,24:38.9,major
2,0,1,2004-11-15,2004-11-15T14:16:30Z,16:30.0,patch
2,1,0,2005-04-18,2005-04-18T22:26:33Z,26:33.1,minor
2,1,1,2005-06-20,2005-06-20T09:27:13Z,27:13.1,patch
2,2,0,2005-10-06,2005-10-06T10:22:14Z,22:14.1,minor
2,2,1,2005-12-20,2005-12-20T10:35:21Z,35:21.6,patch
2,3,0,2006-04-24,2006-04-24T10:37:20Z,37:20.8,minor
2,3,1,2006-06-01,2006-06-01T08:25:33Z,25:33.9,patch
2,4,0,2006-10-03,2006-10-03T10:15:04Z,15:04.4,minor
2,4,1,2006-12-18,2006-12-18T09:49:23Z,49:23.7,patch
2,5,0,2007-04-24,2007-04-24T09:41:43Z,41:43.4,minor
2,5,1,2007-06-28,2007-06-28T11:17:06Z,17:06.4,patch
2,6,0,2007-10-03,2007-10-03T09:02:53Z,02:53.4,minor
2,6,1,2007-11-26,2007-11-26T14:14:04Z,14:04.4,patch
2,6,2,2008-02-08,2008-02-08T11:10:05Z,10:05.7,patch
2,7,0,2008-04-22,2008-04-22T07:45:29Z,45:29.7,minor
2,7,1,2008-06-23,2008-06-23T07:44:32Z,44:32.5,patch
2,7,2,2008-08-25,2008-08-25T08:53:56Z,53:56.8,patch
2,8,0,2008-10-20,2008-10-20T09:24:01Z,24:01.0,minor
2,8,1,2008-12-22,2008-12-22T09:03:17Z,03:17.8,patch
2,9,0,2009-04-17,2009-04-17T08:32:48Z,32:48.1,minor
2,9,1,2009-06-26,2009-06-26T12:10:57Z,10:57.0,patch
2,9,2,2009-08-24,2009-08-24T08:22:34Z,22:34.7,patch
2,10,0,2009-10-26,2009-10-26T09:02:22Z,02:22.3,patch
2,10,1,2009-12-14,2009-12-14T10:28:24Z,28:24.7,patch
2,11,0,2010-04-22,2010-04-22T08:11:21Z,11:21.9,minor
2,11,1,2010-05-31,2010-05-31T08:10:25Z,10:25.3,patch
2,12,0,2010-10-15,2010-10-15T08:41:57Z,41:58.0,minor
2,12,1,2010-12-16,2010-12-16T09:12:04Z,12:04.6,patch
2,12,2,2011-02-25,2011-02-25T11:07:19Z,07:19.3,patch
2,13,0,2011-04-13,2011-04-13T08:31:27Z,31:27.2,minor
2,13,1,2011-07-08,2011-07-08T09:37:08Z,37:08.7,patch
2,13,2,2011-09-30,2011-09-30T07:05:56Z,05:56.1,patch
2,14,0,2011-10-31,2011-10-31T08:09:09Z,09:09.4,minor
2,14,1,2011-12-22,2011-12-22T08:10:18Z,10:18.8,patch
2,14,2,2012-02-29,2012-02-29T08:10:10Z,10:10.4,patch
2,15,0,2012-03-30,2012-03-30T07:16:05Z,16:05.7,minor
2,15,1,2012-06-22,2012-06-22T07:09:44Z,09:44.4,patch
2,15,2,2012-10-26,2012-10-26T07:11:16Z,11:16.6,patch
2,15,3,2013-03-01,2013-03-01T08:28:29Z,28:29.1,patch
3,0,0,2013-04-03,2013-04-03T07:12:36Z,12:36.8,major
3,0,1,2013-05-16,2013-05-16T07:11:33Z,11:33.9,patch
3,0,2,2013-09-25,2013-09-25T07:11:09Z,11:09.0,patch
3,0,3,2014-03-06,2014-03-06T08:12:33Z,12:34.0,patch
3,1,0,2014-04-10,2014-04-10T07:11:10Z,11:10.8,minor
3,1,1,2014-07-10,2014-07-10T07:11:09Z,11:09.3,patch
3,1,2,2014-10-31,2014-10-31T08:11:32Z,11:32.1,patch
3,1,3,2015-03-09,2015-03-09T08:12:20Z,12:20.2,patch
3,2,0,2015-04-16,2015-04-16T07:13:33Z,13:33.1,minor
3,2,1,2015-06-18,2015-06-18T07:15:04Z,15:04.6,patch
3,2,2,2015-08-14,2015-08-14T07:13:18Z,13:18.3,patch
3,2,3,2015-12-10,2015-12-10T08:13:08Z,13:08.4,patch
3,2,4,2016-03-10,2016-03-10T08:15:45Z,15:45.9,patch
3,2,5,2016-04-14,2016-04-14T15:59:38Z,59:38.8,patch
3,3,0,2016-05-03,2016-05-03T07:13:28Z,13:28.1,minor
3,3,1,2016-06-21,2016-06-21T07:21:38Z,21:38.9,patch
3,3,2,2016-10-31,2016-10-31T08:13:15Z,13:15.9,patch
3,3,3,2017-03-06,2017-03-06T08:16:31Z,16:31.6,patch
3,4,0,2017-04-21,2017-04-21T07:14:45Z,14:45.4,minor
3,4,1,2017-06-30,2017-06-30T07:04:11Z,04:11.8,patch
